company,sector,fy,price,label,ebitda_margin,net_margin,roe,roce,debt_to_equity,net_debt_to_ebitda,interest_free_proxy,capex_to_revenue,ocf_to_ebitda,accruals_ratio,asset_turnover,earnings_yield,book_to_price,fcf_yield,ev_ebitda,revenue_growth_1y,ebitda_growth_1y,eps_growth_1y,beta,log_market_cap,cap_tier_ord,sector_Automobile and Auto Components,sector_Banking Financial Services and Insurance,sector_Cement and Building Materials,sector_Defence and Aerospace,sector_IT and Software,sector_Infrastructure and Construction,sector_Jewellery and Retail,sector_Metals Mining and Materials,sector_Oil Gas and Energy,sector_Pharmaceuticals and Healthcare,sector_Trading and Diversified
Hindustan Aeronautics Limited,Defence and Aerospace,2021,415.9312247770378,1.4757489794773928,0.33950606512153003,0.22107800441265288,0.24722988781252453,0.18054140952971603,0.0,0.0,1.0,0.0675714021249928,0.9866082951471412,-0.04466979545799493,0.39224805740151597,0.18345057845511217,0.7420242757794053,0.22187870465066353,3.549595891628649,0.10272177857650111,0.1526252410070073,0.15524138696701434,0.502,26.3514781601917,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hindustan Aeronautics Limited,Defence and Aerospace,2022,613.8100804974956,1.8319750285443526,0.33950606512153003,0.22107800441265285,0.24722988781252453,0.18054140952971598,0.0,0.0,1.0,0.0675714021249928,0.9866082951471411,-0.04466979545799493,0.39224805740151597,0.13284535008022427,0.537335316759766,0.16067299674324195,4.901755456310103,0.06866051587391342,0.06866051587391349,0.06866051587391328,0.502,26.740643803802012,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hindustan Aeronautics Limited,Defence and Aerospace,2023,1124.484739740211,1.9558236328543734,0.33950606512153003,0.22107800441265285,0.24722988781252453,0.180541409529716,0.00011242080166637324,-2.268283280649238,0.0,0.0675714021249928,0.9866082951471411,-0.04466979545799493,0.39224805740151597,0.07749327040234615,0.31344806990193214,0.09372665288078383,6.134659897847154,0.0686605158739136,0.06866051587391356,0.0686541619379324,0.502,27.34603843925382,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hindustan Aeronautics Limited,Defence and Aerospace,2024,2199.293828768004,1.9704480159991489,0.41471314080370997,0.27061561897457204,0.26154868339363796,0.24555377733515119,3.775116968567346e-05,-2.262995211107696,0.0,0.06232427499565015,0.7040622102197855,-0.007705597195627182,0.3606099633805825,0.0518120855474015,0.19810661946159483,0.04397270924566587,10.330710390897266,0.06833466360350463,0.3049911895208373,0.30766582510902,0.502,28.01684983954877,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hindustan Aeronautics Limited,Defence and Aerospace,2025,4333.594161495085,1.0449639346592008,0.40653499504562246,0.2778347825538147,0.2391007732348511,0.17493421433580605,3.3160280501669304e-05,-3.1196769894620386,0.0,0.05836034186035465,1.1147883624039003,-0.049679933111784154,0.28329333183396327,0.02886057054240884,0.1207011828560676,0.041013533627124704,20.561112212529654,0.0689864675323753,0.04790604763547907,0.09758666081614735,0.502,28.695110775731727,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo Micro Systems Limited,Defence and Aerospace,2021,10.852269084578058,1.1025696967468666,0.1725839086331951,0.06302138300518274,0.04889414816539706,0.09906183269913815,0.0,0.0,1.0,0.11230648750025209,-0.3172165723433343,0.0505882349544072,0.42955892556993513,0.024612305681089706,0.5033793736999412,-0.06524069141329186,14.83663213200244,0.10272177857650111,0.1526252410070073,0.15524138696701434,1.334,22.117701442003604,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo Micro Systems Limited,Defence and Aerospace,2022,11.965383033598624,1.7240128320931012,0.1725839086331951,0.06302138300518274,0.04889414816539706,0.09906183269913818,0.0,0.0,1.0,0.11230648750025209,-0.3172165723433343,0.05058823495440721,0.4295589255699352,0.03068164780231462,0.627511654329799,-0.08132890685898096,11.90169862008434,0.3744610338999513,0.3744610338999513,0.3744610338999509,1.334,22.215344985348317,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo Micro Systems Limited,Defence and Aerospace,2023,20.628473890833106,3.802446212086788,0.1725839086331951,0.06302138300518274,0.04889414816539706,0.09906183269913817,0.3745843782277426,2.7927249640688476,0.0,0.11230648750025207,-0.31721657234333434,0.05058823495440721,0.4295589255699352,0.029657210864826238,0.8953240143848233,-0.11603883827828118,11.134347070067404,0.3744610338999512,0.37446103389995106,0.6664493518889223,1.334,22.177983227745127,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo Micro Systems Limited,Defence and Aerospace,2024,78.43866240732955,1.3954981465892982,0.18918764742319194,0.08373664210667371,0.06001581424053074,0.1045423382918002,0.401227339350459,2.9562215717565135,0.0,0.14931429884547762,-1.0785480012402466,0.11184485245189836,0.38864085161821704,0.014855824465093294,0.23411751914019083,-0.05929311075709436,34.457135111861746,0.24908142481665468,0.3692515024869421,0.9047129456032613,1.334,23.8210063218363,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apollo Micro Systems Limited,Defence and Aerospace,2025,109.46100801037204,2.0459366060214053,0.23501554612848383,0.10033693360177003,0.09292462708663664,0.1616292477786068,0.5525545486046634,2.2338301979635866,0.0,0.16406307266080405,0.07748665732995193,0.03552220465804779,0.43253107414716835,0.016992352197448747,0.1809025365138185,-0.024435911696326168,27.631200410504107,0.512425928507118,0.8787886545884857,0.5961952198244015,1.334,24.236262645381746,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sigma Advanced Systems Limited,Defence and Aerospace,2021,6.936629574940387,4.207456170605731,12.316590563165907,4.479604261796043,0.045669084440711084,0.060621563691598844,0.0,0.0,1.0,0.7831557584982243,0.6273068050749712,-0.01697421241744594,0.00522818050299818,0.023833507067846222,0.52187398455048,0.03694054578197239,15.260233950750324,0.10272177857650111,0.1526252410070073,0.15524138696701434,1.703,20.924171591128818,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sigma Advanced Systems Limited,Defence and Aerospace,2022,29.18556490828914,1.292057831397389,12.316590563165907,4.479604261796043,0.045669084440711084,0.060621563691598844,0.0,0.0,1.0,0.7831557584982243,0.6273068050749712,-0.01697421241744594,0.00522818050299818,0.005664588316891488,0.12403551300104161,0.00877978148412992,64.20676550097154,0.0,0.0,0.0,1.703,22.36102982118905,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sigma Advanced Systems Limited,Defence and Aerospace,2023,37.7094377035118,1.308188956148104,12.316590563165907,4.479604261796043,0.045669084440711084,0.060621563691598844,0.7541577420407682,5.911875926841325,0.0,0.7831557584982243,0.6273068050749712,-0.01697421241744594,0.00522818050299818,0.03182227243574747,0.6949825287448751,0.04919393317312925,17.371040391641998,2.0303030303030303,2.0303030303030303,6.258465048706631,1.703,21.746373658729887,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sigma Advanced Systems Limited,Defence and Aerospace,2024,49.33106994628906,1.4193191475569418,0.23817908586791567,0.1498659999043943,-0.07058492579407072,0.07436704672392526,0.8142800106099445,4.5656602196459115,0.0,0.04755284177086734,0.7897945780403258,-0.09629551486377277,0.0,-0.035069176522698545,0.4962286503164151,0.03105611010500888,17.346688813341757,-1.0,0.1728909210743121,-2.4416666666666664,1.703,22.01501736321821,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
