ticker,name,sector,cap_bucket,mcap_cr,price,high_52w,down_from_high_pct,pe,roce_min_observed,roce_avg,roce_years_available,sales_cagr_pct,de_ratio,fy_complete,fii_pct_unverified,passes,fail_reasons,notes,errors,ROCE_FY2021,ROCE_FY2022,ROCE_FY2023,ROCE_FY2024,ROCE_FY2025
ZENTEC.NS,Zen Technologies Limited,Defence and Aerospace,Mid,17170.9,1909.0999755859375,2043.699951171875,6.59,94.98,22.31,28.2,3,110.93,0.05,3,11.42,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 94.98 above ceiling 40.0,,,,,22.31,38.83,23.45
ASTRAMICRO.NS,Astra Microwave Products Limited,Defence and Aerospace,Mid,15990.6,1684.199951171875,1960.0,14.07,84.63,16.52,18.52,3,13.65,0.39,3,22.8,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 84.63 above ceiling 40.0,,,,,16.52,17.43,21.62
PARAS.NS,Paras Defence and Space Technologies Limited,Defence and Aerospace,Small,12104.2,1502.0,1577.0,4.76,128.71,9.38,11.49,3,28.52,0.04,3,6.92,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 128.71 above ceiling 40.0,,,,,11.84,9.38,13.26
APOLLO.NS,Apollo Micro Systems Limited,Defence and Aerospace,Small,14371.6,386.75,466.5,17.1,116.14,9.91,12.17,3,37.45,0.55,3,1.82,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 116.14 above ceiling 40.0,,,,,9.91,10.45,16.16
IDEAFORGE.NS,ideaForge Technology Limited,Defence and Aerospace,Small,4009.5,806.5999755859375,992.25,18.71,886.37,-9.88,4.38,3,-2.23,0.03,3,14.67,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 886.37 above ceiling 40.0,,,,,13.44,9.59,-9.88
DYNAMATECH.NS,Dynamatic Technologies Limited,Defence and Aerospace,Small,7990.1,11765.0,12875.0,8.62,189.15,10.93,14.22,3,3.92,0.8,3,15.87,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 189.15 above ceiling 40.0,,,,,12.61,19.12,10.93
AZAD.NS,AZAD ENGINEERING LIMITED,Defence and Aerospace,Mid,17867.2,2766.60009765625,2986.60009765625,7.37,128.68,8.73,11.33,3,37.58,0.19,3,21.24,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 128.68 above ceiling 40.0,,,,,9.03,16.24,8.73
UNIMECH.NS,UNIMECH AEROSPACE N MFG L,Defence and Aerospace,Small,7677.5,1508.300048828125,1555.0,3.0,107.12,14.8,43.78,3,61.11,0.13,3,7.78,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 107.12 above ceiling 40.0,,,,,51.58,64.97,14.8
TASTYBITE.NS,Tasty Bite Eatables Limited,Defence and Aerospace,Small,2592.8,10104.5,10544.0,4.17,72.03,10.6,13.93,3,7.99,0.23,3,3.6,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 72.03 above ceiling 40.0,,,,,14.22,16.98,10.6
NTPC.NS,NTPC Limited,Power and Renewable Energy,Large,327262.5,337.5,414.3999938964844,18.56,10.32,9.77,9.99,3,3.44,1.36,3,38.47,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | debt/equity 1.36 above 1.0,,,,,9.81,10.39,9.77
POWERGRID.NS,Power Grid Corporation of India Limited,Power and Renewable Energy,Large,246280.0,264.79998779296875,324.95001220703125,18.51,12.97,11.71,12.38,3,0.08,1.45,3,35.93,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | debt/equity 1.45 above 1.0,,,,,11.71,12.95,12.47
TATAPOWER.NS,The Tata Power Company Limited,Power and Renewable Energy,Large,119905.1,375.25,464.8999938964844,19.28,31.04,9.6,10.38,3,8.86,1.9,3,21.63,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | debt/equity 1.9 above 1.0,,,,,11.28,10.25,9.6
JSWENERGY.NS,JSW Energy Limited,Power and Renewable Energy,Large,99314.6,542.0,617.3499755859375,12.21,42.58,5.63,6.8,3,7.65,1.83,3,21.4,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 42.58 above ceiling 40.0 | debt/equity 1.83 above 1.0,,,,,6.75,8.02,5.63
NHPC.NS,NHPC Limited,Power and Renewable Energy,Large,76693.8,76.3499984741211,89.22000122070312,14.43,27.97,8.41,8.61,3,-0.5,1.05,3,21.5,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | debt/equity 1.05 above 1.0,,,,,8.99,8.41,8.44
SJVN.NS,SJVN Limited,Power and Renewable Energy,Mid,25901.3,65.91000366210938,101.44999694824219,35.03,37.45,4.16,5.3,3,3.63,1.91,3,5.74,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | debt/equity 1.91 above 1.0,,,,,7.03,4.72,4.16
TORNTPOWER.NS,Torrent Power Limited,Power and Renewable Energy,Large,62922.4,1248.699951171875,1824.0999755859375,31.54,27.5,13.68,15.05,3,6.55,0.5,3,27.74,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,16.73,13.68,14.73
CESC.NS,CESC Limited,Power and Renewable Energy,Mid,20759.8,156.61000061035156,204.5,23.42,13.34,9.68,9.84,3,7.88,1.5,3,77.38,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | debt/equity 1.5 above 1.0,,,,,9.68,9.92,9.91
ADANIGREEN.NS,Adani Green Energy Limited,Power and Renewable Energy,Large,214429.4,1301.800048828125,1631.5,20.21,124.34,6.89,7.95,3,19.2,6.55,3,16.98,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 124.34 above ceiling 40.0 | debt/equity 6.55 above 1.0,,,,,6.89,9.49,7.46
ADANIPOWER.NS,Adani Power Limited,Power and Renewable Energy,Large,393407.8,204.0,254.1999969482422,19.75,27.6,15.74,22.36,3,21.5,0.7,3,18.92,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,15.74,31.19,20.14
SUZLON.NS,Suzlon Energy Limited,Power and Renewable Energy,Large,64605.2,47.0,61.5,23.58,20.52,18.35,52.13,3,35.59,0.12,3,23.84,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,116.02,18.35,22.03
