Company name,Financial Year,Model,Value,Estimated?,Method
Apollo Micro Systems Limited,2021,(XGBoost) Intrinsic Value,12.9,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Apollo Micro Systems Limited,2021,(Random Forest) Intrinsic Value,14.95,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Apollo Micro Systems Limited,2021,(LightGBM) Intrinsic Value,11.92,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Sigma Advanced Systems Limited,2025,Market Price,70.02,no,directly computed from reported figures
Sigma Advanced Systems Limited,2025,(DCF) Intrinsic Value,68.92,no,directly computed from reported figures
Sigma Advanced Systems Limited,2025,(P/E Relative Valuation) Intrinsic Value,6.09,YES,normalised EPS (median of 3 positive years)
Sigma Advanced Systems Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,162.69,no,directly computed from reported figures
Sigma Advanced Systems Limited,2025,(XGBoost) Intrinsic Value,127.61,no,directly computed from reported figures
Sigma Advanced Systems Limited,2025,(Random Forest) Intrinsic Value,129.85,no,directly computed from reported figures
Sigma Advanced Systems Limited,2025,(LightGBM) Intrinsic Value,138.63,no,directly computed from reported figures
Sigma Advanced Systems Limited,2024,Market Price,49.33,no,directly computed from reported figures
Sigma Advanced Systems Limited,2024,(DCF) Intrinsic Value,16.5,no,directly computed from reported figures
Sigma Advanced Systems Limited,2024,(P/E Relative Valuation) Intrinsic Value,4.09,YES,normalised EPS (median of 3 positive years)
Sigma Advanced Systems Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,34.39,no,directly computed from reported figures
Sigma Advanced Systems Limited,2024,(XGBoost) Intrinsic Value,72.26,no,directly computed from reported figures
Sigma Advanced Systems Limited,2024,(Random Forest) Intrinsic Value,78.89,no,directly computed from reported figures
Sigma Advanced Systems Limited,2024,(LightGBM) Intrinsic Value,87.47,no,directly computed from reported figures
Sigma Advanced Systems Limited,2023,Market Price,37.71,no,directly computed from reported figures
Sigma Advanced Systems Limited,2023,(DCF) Intrinsic Value,37.63,no,directly computed from reported figures
Sigma Advanced Systems Limited,2023,(P/E Relative Valuation) Intrinsic Value,24.9,no,directly computed from reported figures
Sigma Advanced Systems Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,8.96,no,directly computed from reported figures
Sigma Advanced Systems Limited,2023,(XGBoost) Intrinsic Value,85.85,no,directly computed from reported figures
Sigma Advanced Systems Limited,2023,(Random Forest) Intrinsic Value,69.73,no,directly computed from reported figures
Sigma Advanced Systems Limited,2023,(LightGBM) Intrinsic Value,96.56,no,directly computed from reported figures
Sigma Advanced Systems Limited,2022,Market Price,29.19,no,directly computed from reported figures
Sigma Advanced Systems Limited,2022,(DCF) Intrinsic Value,2.65,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Sigma Advanced Systems Limited,2022,(P/E Relative Valuation) Intrinsic Value,2.69,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Sigma Advanced Systems Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,4.92,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Sigma Advanced Systems Limited,2022,(XGBoost) Intrinsic Value,103.22,no,directly computed from reported figures
Sigma Advanced Systems Limited,2022,(Random Forest) Intrinsic Value,64.02,no,directly computed from reported figures
Sigma Advanced Systems Limited,2022,(LightGBM) Intrinsic Value,103.29,no,directly computed from reported figures
Sigma Advanced Systems Limited,2021,Market Price,6.94,no,directly computed from reported figures
Sigma Advanced Systems Limited,2021,(DCF) Intrinsic Value,3.35,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Sigma Advanced Systems Limited,2021,(P/E Relative Valuation) Intrinsic Value,2.49,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Sigma Advanced Systems Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,4.53,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Sigma Advanced Systems Limited,2021,(XGBoost) Intrinsic Value,7.97,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
